,ID,sample,ancestry,pred_ancestry,PCA1,PCA2,PCA3,PCA4,PCA5,PCA6,PCA7,PCA8,PCA9,PCA10
0,MacArthurLab_1,missing,,nfe,-0.0107,-0.0264,-0.0009,-0.0103,-0.0061,-0.016,-0.0114,0.0151,0.0051,-0.0013
1,MacArthurLab_2,missing,,amr,-0.0093,-0.0231,0.0005,-0.0127,-0.0037,-0.0146,-0.0104,0.013,0.0067,-0.0014
2,MacArthurLab_3,test,eas,eas,-0.0147,0.0298,0.0274,-0.0078,-0.0289,-0.0135,-0.0113,0.0174,-0.0003,0.0045
3,MacArthurLab_4,missing,,eas,-0.0147,0.0293,0.0264,-0.0106,-0.0277,-0.0148,-0.0149,0.0117,-0.0084,0.014
4,MacArthurLab_5,train,eas,eas,-0.0149,0.0305,0.0283,-0.0111,-0.0318,-0.0119,-0.0127,0.0091,-0.0001,0.0091
5,MacArthurLab_6,missing,,nfe,-0.0174,-0.026,-0.0562,-0.0019,-0.0602,0.0643,0.0029,0.0177,-0.0354,-0.0252
6,MacArthurLab_7,train,nfe,nfe,-0.0129,-0.0335,-0.0047,-0.0026,-0.0128,-0.0344,-0.006,0.0152,0.0052,-0.0129
7,MacArthurLab_8,train,nfe,nfe,-0.013,-0.0313,-0.0027,-0.0046,-0.0111,-0.0316,-0.0046,0.0146,0.0029,-0.0142
8,MacArthurLab_9,train,nfe,nfe,-0.0156,-0.0249,-0.0422,-0.0006,-0.0415,0.0387,-0.0032,0.0138,-0.0184,-0.0037
9,MacArthurLab_10,train,nfe,nfe,-0.0131,-0.0311,-0.0057,-0.0043,-0.0093,-0.0303,-0.004,0.0002,-0.0086,0.0116
10,MacArthurLab_11,missing,,nfe,-0.0131,-0.0301,-0.0074,-0.0051,-0.009,-0.0312,-0.0031,-0.0055,-0.0136,0.0156
11,MacArthurLab_12,train,nfe,nfe,-0.0132,-0.0301,-0.007,-0.0044,-0.0085,-0.0322,-0.0042,-0.0018,-0.0163,0.0186
12,MacArthurLab_13,train,nfe,nfe,-0.0131,-0.0324,-0.0044,-0.0049,-0.0124,-0.0338,-0.0049,0.013,0.0043,-0.0128
13,MacArthurLab_14,train,nfe,nfe,-0.0133,-0.0311,-0.0021,-0.0036,-0.0111,-0.0313,-0.0056,0.0157,0.0043,-0.0131
14,MacArthurLab_15,missing,,nfe,-0.0135,-0.0319,-0.0066,-0.0056,-0.0093,-0.0303,-0.001,-0.0006,-0.0106,0.0115
15,MacArthurLab_16,test,nfe,nfe,-0.0133,-0.0222,-0.0237,0.0041,0.0043,-0.027,0.0008,-0.0277,0.01,0.0252
16,MacArthurLab_17,train,nfe,nfe,-0.0129,-0.022,-0.0273,0.0044,-0.0,-0.0238,0.0013,-0.0294,0.0139,0.0221
17,MacArthurLab_18,missing,,nfe,-0.0134,-0.0216,-0.0271,0.0066,0.0025,-0.0246,0.0018,-0.0352,0.0111,0.0241
18,MacArthurLab_19,missing,,nfe,-0.013,-0.0192,-0.0301,0.007,0.0076,-0.0173,0.0048,-0.0321,0.0154,0.0193
19,MacArthurLab_20,train,nfe,nfe,-0.0132,-0.0313,-0.0038,-0.0038,-0.013,-0.0342,-0.0051,0.0146,-0.0003,-0.0115
20,MacArthurLab_21,missing,,nfe,-0.014,-0.0193,-0.0383,0.0083,0.0021,-0.0154,0.0101,-0.0422,0.0151,0.0145
21,MacArthurLab_22,missing,,nfe,-0.0131,-0.0299,-0.0055,-0.0051,-0.0097,-0.0288,-0.0024,0.0017,-0.0085,0.0102
22,MacArthurLab_23,train,nfe,nfe,-0.013,-0.0321,-0.0026,-0.0031,-0.013,-0.0346,-0.0046,0.016,0.0028,-0.0169
23,MacArthurLab_24,missing,,nfe,-0.0162,-0.0253,-0.045,-0.0004,-0.0462,0.0448,-0.0057,0.0189,-0.03,-0.0012
24,MacArthurLab_25,train,nfe,nfe,-0.0164,-0.0257,-0.0437,0.0002,-0.0457,0.0421,-0.0031,0.0166,-0.0251,-0.0127
25,MacArthurLab_26,missing,,nfe,-0.0131,-0.0326,-0.0045,-0.0051,-0.0109,-0.0334,-0.0055,0.0133,0.0026,-0.0111
26,MacArthurLab_27,missing,,nfe,-0.0155,-0.0253,-0.0379,0.0003,-0.034,0.0264,-0.008,0.0187,-0.0189,0.0032
27,MacArthurLab_28,missing,,nfe,-0.0149,-0.0152,-0.0455,0.0123,0.0039,-0.0068,0.0143,-0.0495,0.0236,0.0082
28,MacArthurLab_29,test,nfe,nfe,-0.013,-0.0317,-0.0035,-0.0056,-0.013,-0.0353,-0.0055,0.0166,0.0073,-0.0155
29,MacArthurLab_30,train,nfe,nfe,-0.0161,-0.0263,-0.0419,0.0011,-0.0392,0.0348,-0.0093,0.0155,-0.0226,0.0019
30,MacArthurLab_31,train,nfe,nfe,-0.0162,-0.027,-0.0451,0.0009,-0.0406,0.0317,-0.0028,0.0128,-0.0203,0.0007
31,MacArthurLab_32,missing,,nfe,-0.0143,-0.017,-0.044,0.0096,0.0011,-0.0114,0.0137,-0.041,0.0165,0.0054
32,MacArthurLab_33,missing,,nfe,-0.0134,-0.0326,-0.0033,-0.0042,-0.0112,-0.0347,-0.0051,0.0139,0.0035,-0.0116
33,MacArthurLab_34,train,nfe,nfe,-0.0123,-0.0294,-0.0036,-0.0023,-0.0108,-0.0237,-0.0096,0.0086,0.0019,0.0065
34,MacArthurLab_35,train,nfe,nfe,-0.013,-0.0322,-0.0029,-0.0049,-0.012,-0.0335,-0.0045,0.0191,0.0034,-0.0162
35,MacArthurLab_36,missing,,nfe,-0.0134,-0.0327,-0.0038,-0.0032,-0.0108,-0.0334,-0.005,0.0123,0.004,-0.0102
36,MacArthurLab_37,missing,,nfe,-0.0129,-0.0327,-0.0033,-0.0027,-0.012,-0.0342,-0.0059,0.019,0.0054,-0.0133
37,MacArthurLab_38,missing,,nfe,-0.0169,-0.0231,-0.0611,0.0016,-0.0699,0.0798,0.0078,0.0206,-0.044,-0.032
38,MacArthurLab_39,train,nfe,nfe,-0.0134,-0.0324,-0.0033,-0.0037,-0.0126,-0.034,-0.006,0.0164,0.005,-0.0154
39,MacArthurLab_40,missing,,nfe,-0.0158,-0.025,-0.045,0.0019,-0.0376,0.0349,-0.0075,0.0159,-0.0272,0.0009
40,MacArthurLab_41,test,nfe,nfe,-0.0148,-0.0144,-0.0447,0.0135,0.0071,-0.0111,0.0129,-0.0452,0.0222,0.01
41,MacArthurLab_42,missing,,nfe,-0.0138,-0.0162,-0.0392,0.0115,0.0012,-0.01,0.0134,-0.0457,0.0213,0.0114
